37297223,써니사이드실내암벽,서울특별시 은평구 응암동 96-28
37309253,수지클라이밍,경기도 용인시 수지구 죽전동 1003-43 아르피아스포츠센터 B2F
37344975,버티고클라이밍짐,서울특별시 광진구 중곡동 131-5 지하1층
37351333,볼더 클라이밍 짐,서울특별시 노원구 상계동 1110
37408173,락오디세이 클라이밍 동래점,부산광역시 동래구 낙민동 91-3
37450215,실내암벽 Climbholic,경기도 안양시 동안구 관양동 1489-9
37471592,바위 클라이밍 센터,"광주광역시 동구 대의동 10-1 광주아트센터 지하 1,2층"
37683979,타잔101 클라이밍 압구정점,서울특별시 강남구 신사동 581-10
37690834,안동클라이밍짐,경상북도 안동시 옥동 616-6 3층
37749592,클라이븐,광주광역시 동구 황금동 74 (황금동)
37766140,실내암벽클라이밍,충청남도 논산시 내동 1044
37779022,더클라임 클라이밍 짐앤샵 일산점,경기도 고양시 일산동구 마두동 805-1 5층 더클라임
37853567,구로남 클라이밍센터,서울특별시 구로구 구로3동 253
37890356,조규복클라이밍센터,경기도 남양주시 금곡동 567-1
37944308,톺아클라이밍,충청북도 제천시 명동 209-5
38322574,에잇 픽스 클라이밍,경기도 의왕시 내손동 755-1 오남프라자 6층
38414963,예티 클라이밍 짐,경상남도 진주시 충무공동 8
38426169,청송클라이밍아카데미,경상북도 청송군 주왕산면 내룡리 112-1
38426172,홍성클라이밍센터,충청남도 홍성군 홍북읍 봉신리 290-13 2층
38463974,콩이점이클라이밍짐,경상남도 통영시 미수동 477-3
38511385,안산 선부 클라이밍,경기도 안산시 단원구 선부동 1077-6 대준빌딩 5층
38549899,핫클라이밍,경상남도 창원시 의창구 사림동 57-3
38563147,청주클라이밍아카데미,충청북도 청주시 상당구 방서동 206-1
38591336,홀드홀세일,서울특별시 영등포구 양평동3가 48
38591347,코드홀드,서울특별시 영등포구 양평동3가 46
38705243,사당클라이밍,서울특별시 서초구 방배동 467-19
40430629,더클라임 B 홍대점,서울특별시 마포구 서교동 353-5 경남관광빌딩
